IH35-TMS — MODULE-BY-MODULE / TAB-BY-TAB UI-CONSISTENCY REGISTER
"Owner live 2026-09-09, verbatim: 'YOU SHOULD HAVE 1 CODER VERIFY MODULE BY MODULE, TAB BY TAB, SUBTAB BY SUB TAB, ETC, POP UP MODALS, SIDE PANELS, ETC AND MAKE SURE ALL HAVE THE BACK ARROW. MAKE SURE THE SAME SIZE IS UNIVERSAL. MAKE SURE EACH MODULE HOME PAGE STATES THE NAME ON TOP THE MODULE AND SHOW HOME. THAT IS WHERE KPIS LIVE FOR EACH MODULE.' REG-020=back arrow present + returns to correct prior context (not navigate(-1)). REG-021=universal modal/panel size, majority pattern is the baseline, outliers flagged. REG-022=module home page names the module at top + real KPI tile strip (MaintenanceHome.tsx is the reference pattern). CC-2 files findings only; owner routes each FAIL to the owning builder seat. Do not work from memory — every row below is a live check on the deployed app, method column says exactly how."
Check,Module,Tab / Sub-tab,Element,Status,Route / Component,Method,Notes,Filed
REG-022,Dispatch,Home,Module home page,PASS,/dispatch?view=overview,Live Chrome 2026-09-09 -- navigated to Dispatch then clicked the Home tab,"""Dispatch"" module name at top of page; real KPI tile strip present (Active loads 7, Delivered-pending-docs 64, At-risk/late 7, Detention 0, Units available 9, Units needing return 6) plus Units Needing Return / Unassigned Units / Round-Trip Exposure / At-Risk-Late / Missing Driver Bill / Detention Board panels below. Matches MaintenanceHome.tsx reference pattern.",N/A -- PASS
REG-020,Dispatch,Load Board (Kanban) -> Fleet unit detail,Back arrow,PASS,/fleet/units/478d9f14-b2fd-4cea-a51e-76ec30c39ec7,"Live Chrome 2026-09-09 -- clicked a unit number on a Kanban card, landed on Fleet Unit T164 profile, clicked <- Back","Correctly returned to Dispatch Load Board (Kanban view), the exact prior context -- not a raw history pop to somewhere else.",N/A -- PASS
REG-020,Dispatch,Load Board (Kanban) -> Driver profile,Back arrow,PASS,/drivers/a7983a80-3913-458e-aff3-fbbf6ec9a1e6,"Live Chrome 2026-09-09 -- clicked a driver name on a Kanban card, landed on Driver Profile (Carlos Mauricio Carvallo), clicked <- Back",Correctly returned to Dispatch Load Board (Kanban view).,N/A -- PASS
REG-020,Dispatch,Load Board -> Load detail side panel,Back arrow (side panel),FAIL,/dispatch/loads/639b38d8-4c5e-42ba-9d7f-2d5aeb3f735f (Load 13581 side panel),"Live Chrome 2026-09-09 -- clicked a load number on a Kanban card, opened the Load 13581 side panel (docked right, Overview/Stops/Costs/Driver Pay/Factoring/Settlement/Pre-Settlement/Audit sub-tabs)","Zoomed on the panel header: only a text ""Close"" button + an X icon, NO <- back-arrow icon. Owner's instruction explicitly names ""side panels"" as needing the back arrow. Established app convention elsewhere is Modal variant=""drawer"" always shows <- (see historical NAV-BACK-NESTED-CREATE fix, PR #6588) -- this load side panel does not follow that convention. SECONDARY: closing this panel (opened while on Kanban view) landed on List view, not Kanban -- does not restore the exact prior sub-view either.",OPEN -- awaiting owner routing to Dispatch FE seat
REG-020,Dispatch,Load Board -> Load costs (cross-module page),Back arrow,PASS,/accounting/load-costs,"Live Chrome 2026-09-09 -- from Dispatch List view, clicked the ""LOAD COSTS"" sub-nav item (routes to /accounting/load-costs), clicked <- Back",Correctly returned to Dispatch List view (the exact prior sub-view -- view=list preserved). NOTE (not a REG-022 module-home finding -- flagging as a wayfinding observation only): this page's header shows only the page title ""Load costs"" with no parent-module breadcrumb (other Dispatch pages show a ""Dispatch > X"" breadcrumb) and neither DISPATCH nor ACCOUNTING is highlighted in the left sidebar while on it.,N/A -- PASS (breadcrumb note is observational, not filed as a REG-020/021/022 FAIL)
REG-020,Dispatch,Load Board -> +Book Load modal,Back arrow (popup modal),FAIL,/dispatch/loads?view=list (Book load modal overlay),"Live Chrome 2026-09-09 -- clicked ""+Book Load"" top-right, zoomed on the modal header, closed via the X without submitting (per standing law: CC-2 never books/posts a load)",Zoomed the header: only a bare X icon (no text label at all this time -- a THIRD distinct dismiss-affordance pattern in one module alone: Load 13581's panel used ""Close"" text + X; this modal uses X only; neither uses a <- arrow icon). Owner's instruction explicitly names ""pop up modals"" as needing the back arrow.,OPEN -- awaiting owner routing to Dispatch FE seat (Book Load owned by Cursor per seat law -- flagging only, not touching)
REG-021,Dispatch,Load Board -> Load detail vs. Book Load,Modal/panel size sample,DATA POINT (not yet a verdict -- need more samples across modules before calling majority vs. outlier),"Load 13581 panel: /dispatch/loads/{id}; Book Load modal: /dispatch/loads?view=list overlay","Live Chrome 2026-09-09 -- measured both surfaces against the 1456px-wide viewport","Load 13581 detail = a RIGHT-DOCKED side panel, ~443px wide (x~1013-1456), full viewport height. Book Load = a CENTERED modal, ~954px wide (x~250-1204), from y~17 well past the fold. These are two structurally different UI patterns (docked drawer vs. centered dialog) for two ""open a record"" actions in the SAME module -- flagging as a likely REG-021 outlier candidate once more modules are sampled for the majority pattern.",OPEN -- tracking, will confirm verdict after sampling more modules
REG-020,Dispatch,Load Board -> Assignment History,Back arrow,PASS,/dispatch/assignment-history,"Live Chrome 2026-09-09 -- clicked ASSIGNMENTS sub-nav, clicked <- Back",Correctly returned to Dispatch List view. Page also has a bonus ""Dispatch Home"" quick-link button (positive pattern -- a good idiom worth other pages copying).,N/A -- PASS
REG-020,Dispatch,Load Board -> Round Trips (Timeline view),Back arrow,PASS,/dispatch/loads?view=units,Live Chrome 2026-09-09 -- clicked Round Trips sub-tab under Load Board,Same shared Dispatch header component as Load Board itself -- <- Back present and consistent.,N/A -- PASS
REG-020,Dispatch,At-Risk / Late Queue,Back arrow,PASS,/dispatch/at-risk,Live Chrome 2026-09-09 -- clicked AT-RISK sub-nav then <- Back,Correctly returned to Dispatch List view. Page also has a bonus ""Dispatch Home"" quick-link (same positive pattern as Assignment History).,N/A -- PASS
